scan_id,subset,x_var,y_var,n_events,k_best,delta_chi2,outer_global_p
scan_091,rank_top12_final_spin,log_total_mass_source,final_spin,12,24.65416354088522,2.3820244816619347,0.7902097902097902
scan_092,rank_top20_network_matched_filter_snr,log_final_mass_source,final_spin,20,0.5,161.47414730000017,0.054945054945054944
scan_093,rank_top24_network_matched_filter_snr,log_final_mass_source,final_spin,24,0.5,160.2846495256481,0.060939060939060936
scan_094,rank_top12_chirp_mass_source,log_total_mass_source,final_spin,12,36.045386346586646,1.9147375418344723,0.7302697302697303
scan_095,rank_top20_final_mass_source,log_chirp_mass_source,final_spin,20,0.5,4.547294906263458,0.36663336663336665
scan_096,distant_luminosity_distance_ge_q0.75_4054.52,log_chirp_mass_source,final_spin,22,49.20592648162041,4.97711853645186,0.3306693306693307
scan_097,rank_top12_total_mass_source,log_total_mass_source,final_spin,12,36.045386346586646,1.9147375418344723,0.7302697302697303
scan_098,rank_top12_final_mass_source,log_total_mass_source,final_spin,12,36.045386346586646,1.9147375418344723,0.7302697302697303
scan_099,rank_top20_network_matched_filter_snr,log_total_mass_source,final_spin,20,0.5,156.59321215688237,0.055944055944055944
scan_100,rank_top12_chirp_mass_source,log_final_mass_source,final_spin,12,36.68154538634659,2.0047211975481183,0.7132867132867133
scan_101,rank_top16_chirp_mass_source,log_final_mass_source,final_spin,16,70.17929482370593,2.983071939719832,0.6233766233766234
scan_102,rank_top20_final_spin,log_total_mass_source,final_spin,20,75.32820705176294,5.411705930591887,0.6623376623376623
scan_103,rank_top12_final_mass_source,log_final_mass_source,final_spin,12,36.68154538634659,2.0047211975481183,0.7132867132867133
scan_104,rank_top12_total_mass_source,log_final_mass_source,final_spin,12,36.68154538634659,2.0047211975481183,0.7132867132867133
scan_105,rank_top20_final_spin,log_chirp_mass_source,final_spin,20,63.261065266316585,5.315280057551319,0.6683316683316683
scan_106,high_snr_network_matched_filter_snr_ge_q0.75_12.3913,log_chirp_mass_source,final_spin,22,1.1560390097524382,98.48218615350883,0.18081918081918083
scan_107,rank_top32_final_mass_source,log_total_mass_source,final_spin,32,76.38184546136534,5.09952224927895,0.5614385614385614
scan_108,rank_top32_total_mass_source,log_total_mass_source,final_spin,32,76.38184546136534,5.09952224927895,0.5614385614385614
scan_109,rank_top32_chirp_mass_source,log_total_mass_source,final_spin,32,76.38184546136534,5.363898118640904,0.5184815184815185
scan_110,upper_half_mass_total_mass_source_ge_q0.50_62.2475,log_total_mass_source,final_spin,43,77.39572393098275,7.397331958600123,0.5264735264735265
scan_111,rank_top32_final_mass_source,log_chirp_mass_source,final_spin,32,54.73255813953489,5.722218374662315,0.5664335664335665
scan_112,rank_top12_network_matched_filter_snr,log_chirp_mass_source,final_spin,12,5.17179294823706,10.353253407535568,0.8481518481518482
scan_113,rank_top32_chirp_mass_source,log_chirp_mass_source,final_spin,32,54.5933983495874,6.171437046653619,0.5154845154845155
scan_114,rank_top24_network_matched_filter_snr,log_chirp_mass_source,final_spin,24,0.5,97.3565975569543,0.2097902097902098
scan_115,high_final_spin_final_spin_ge_q0.75_0.721275,log_total_mass_source,final_spin,22,74.95048762190548,5.546932468234209,0.6963036963036963
scan_116,rank_top32_final_spin,log_total_mass_source,final_spin,32,23.18304576144036,7.79522336986806,0.7132867132867133
scan_117,rank_top16_chirp_mass_source,log_total_mass_source,final_spin,16,67.2768192048012,2.458801587705317,0.7272727272727273
scan_118,rank_top12_network_matched_filter_snr,log_final_mass_source,final_spin,12,5.072393098274569,9.550504767254434,0.8661338661338661
scan_119,rank_top32_total_mass_source,log_chirp_mass_source,final_spin,32,54.73255813953489,5.722218374662315,0.5664335664335665
scan_120,rank_top20_network_matched_filter_snr,log_chirp_mass_source,final_spin,20,0.8777194298574644,93.68264131088011,0.1968031968031968
scan_121,rank_top12_network_matched_filter_snr,log_total_mass_source,final_spin,12,5.072393098274569,9.42847687908994,0.8611388611388612
scan_122,rank_top32_final_spin,log_final_mass_source,final_spin,32,23.22280570142536,7.718927569508214,0.7392607392607392
scan_123,rank_top16_network_matched_filter_snr,log_chirp_mass_source,final_spin,16,4.913353338334584,9.582480448936304,0.9200799200799201
scan_124,rank_top32_network_matched_filter_snr,log_chirp_mass_source,final_spin,32,2.6470367591897976,86.9446776800719,0.2677322677322677
scan_125,rank_top32_total_mass_source,log_final_mass_source,final_spin,32,10.24118529632408,4.905639706961892,0.6153846153846154
scan_126,high_final_spin_final_spin_ge_q0.75_0.721275,log_chirp_mass_source,final_spin,22,63.1020255063766,5.392744277000509,0.7292707292707292
scan_127,rank_top20_abs_chi_eff,log_total_mass_source,final_spin,20,79.44336084021006,14.618579424873149,0.26673326673326675
scan_128,rank_top32_final_mass_source,log_final_mass_source,final_spin,32,10.24118529632408,4.905639706961892,0.6153846153846154
scan_129,upper_half_mass_total_mass_source_ge_q0.50_62.2475,log_chirp_mass_source,final_spin,43,34.01762940735184,6.676903510279541,0.6193806193806194
scan_130,rank_top16_network_matched_filter_snr,log_final_mass_source,final_spin,16,4.813953488372094,8.939092128249523,0.9230769230769231
scan_131,rank_top16_chirp_mass_source,log_chirp_mass_source,final_spin,16,11.473743435858966,2.2849706897624484,0.7402597402597403
scan_132,rank_top16_network_matched_filter_snr,log_total_mass_source,final_spin,16,4.794073518379595,8.864182898106714,0.926073926073926
scan_133,upper_half_mass_total_mass_source_ge_q0.50_62.2475,log_final_mass_source,final_spin,43,78.38972243060766,6.640914802959994,0.6073926073926074
scan_134,rank_top24_final_spin,log_chirp_mass_source,final_spin,24,63.1616654163541,5.715761349325346,0.7232767232767233
scan_135,rank_top20_final_mass_source,log_total_mass_source,final_spin,20,11.652663165791449,3.334763160786899,0.6013986013986014
scan_136,rank_top20_abs_chi_eff,log_final_mass_source,final_spin,20,80.0,12.17186173922159,0.3626373626373626
scan_137,rank_top32_chirp_mass_source,log_final_mass_source,final_spin,32,44.31545386346587,4.640932442410023,0.6503496503496503
scan_138,rank_top20_abs_chi_eff,log_chirp_mass_source,final_spin,20,31.05551387846962,13.32830880336946,0.34665334665334663
scan_139,rank_top20_chirp_mass_source,log_total_mass_source,final_spin,20,11.652663165791449,3.334763160786899,0.6013986013986014
scan_140,rank_top20_total_mass_source,log_final_mass_source,final_spin,20,11.175543885971496,3.33740326784606,0.6073926073926074
scan_141,rank_top32_final_spin,log_chirp_mass_source,final_spin,32,23.282445611402853,6.490798741450298,0.8201798201798202
