event_key,commonName,catalog_version,GPS,observing_run,source_class,M_chirp,M_total,mass_1_source,mass_2_source,M_final,D_L,redshift,chi_eff,p_astro,far,M_chirp_lower,M_chirp_upper,M_total_lower,M_total_upper,D_L_lower,D_L_upper,is_primary_entry
GW231026_130704-v2,GW231026_130704,GWTC-4.1,1382360842.2,O4a,BBH,22.8,55.0,34.0,20.8,53.0,4400.0,0.71,0.03,0.95,0.7599999999999999,-5.7,10.3,-14.0,29.0,-2400.0,4000.0,True
GW231025_142306-v1,GW231025_142306,GWTC-4.1,1382279004.1,O4a,unknown,,,,,,,,,0.71,5.3,,,,,,,True
GW231024_023603-v1,GW231024_023603,GWTC-4.1,1382150181.2,O4a,unknown,,,,,,,,,0.51,14.0,,,,,,,True
GW231020_142947-v1,GW231020_142947,GWTC-4.0,1381847405.6,O4a,BBH,8.07,19.8,12.0,7.4,18.8,1230.0,0.24,0.14,0.99,1e-05,-0.52,0.83,-2.1,5.4,-640.0,510.0,False
GW231020_142947-v2,GW231020_142947,GWTC-4.1,1381847405.6,O4a,BBH,8.07,19.8,12.0,7.4,18.8,1230.0,0.24,0.14,0.99,1e-05,-0.52,0.83,-2.1,5.4,-640.0,510.0,True
GW231018_233037-v1,GW231018_233037,GWTC-4.0,1381707055.0,O4a,BBH,7.9,19.0,11.6,7.3,18.2,1540.0,0.29,0.01,0.93,0.68,-0.67,0.89,-2.0,3.4,-740.0,740.0,False
GW231018_233037-v2,GW231018_233037,GWTC-4.1,1381707055.0,O4a,BBH,7.9,19.0,11.6,7.3,18.2,1540.0,0.29,0.01,0.93,0.68,-0.67,0.89,-2.0,3.4,-740.0,740.0,True
GW231014_040532-v1,GW231014_040532,GWTC-4.0,1381291551.0,O4a,BBH,15.0,35.6,20.6,14.7,33.8,2300.0,0.42,0.18,0.96,0.21,-1.9,2.6,-4.7,6.8,-1200.0,1400.0,False
GW231014_040532-v2,GW231014_040532,GWTC-4.1,1381291551.0,O4a,BBH,15.0,35.6,20.6,14.7,33.8,2300.0,0.42,0.18,0.98,0.21,-1.9,2.6,-4.7,6.8,-1200.0,1400.0,True
GW231013_135504-v1,GW231013_135504,GWTC-4.0,1381240522.4,O4a,unknown,,,,,,,,,0.54,64.0,,,,,,,False
GW231013_135504-v2,GW231013_135504,GWTC-4.1,1381240522.4,O4a,unknown,,,,,,,,,0.53,15.0,,,,,,,True
GW231008_142521-v1,GW231008_142521,GWTC-4.0,1380810339.8,O4a,BBH,29.0,71.0,45.0,25.6,69.0,3000.0,0.51,-0.01,0.99,0.0016,-5.7,6.9,-13.0,16.0,-1300.0,2500.0,False
GW231008_142521-v2,GW231008_142521,GWTC-4.1,1380810339.8,O4a,BBH,29.0,71.0,45.0,25.6,69.0,3000.0,0.51,-0.01,0.99,0.0015,-5.7,6.9,-13.0,16.0,-1300.0,2500.0,True
GW231007_134720-v1,GW231007_134720,GWTC-4.1,1380721658.8,O4a,unknown,,,,,,,,,0.63,8.3,,,,,,,True
GW231005_144455-v1,GW231005_144455,GWTC-4.0,1380552313.4,O4a,unknown,,,,,,,,,0.55,60.0,,,,,,,False
GW231005_144455-v2,GW231005_144455,GWTC-4.1,1380552313.4,O4a,unknown,,,,,,,,,0.52,14.0,,,,,,,True
GW231005_091549-v1,GW231005_091549,GWTC-4.0,1380532567.5,O4a,BBH,21.3,50.2,28.8,21.2,48.0,3800.0,0.62,-0.03,0.99,0.04,-3.5,4.8,-8.3,11.3,-1900.0,2500.0,False
GW231005_091549-v2,GW231005_091549,GWTC-4.1,1380532567.5,O4a,BBH,21.3,50.2,28.8,21.2,48.0,3800.0,0.62,-0.03,0.99,0.04,-3.5,4.8,-8.3,11.3,-1900.0,2500.0,True
GW231005_021030-v1,GW231005_021030,GWTC-4.0,1380507049.0,O4a,BBH,54.0,133.0,84.0,50.0,127.0,6300.0,0.93,0.1,0.99,0.01,-11.0,17.0,-25.0,38.0,-3200.0,4600.0,False
GW231005_021030-v2,GW231005_021030,GWTC-4.1,1380507049.0,O4a,BBH,54.0,133.0,84.0,50.0,127.0,6300.0,0.93,0.1,0.99,0.01,-11.0,17.0,-25.0,38.0,-3200.0,4600.0,True
GW231004_232346-v1,GW231004_232346,GWTC-4.0,1380497044.3,O4a,BBH,40.0,99.0,64.0,35.0,96.0,4400.0,0.7,-0.04,0.97,0.16,-8.6,11.5,-19.0,27.0,-2300.0,3700.0,False
GW231004_232346-v2,GW231004_232346,GWTC-4.1,1380497044.3,O4a,BBH,40.0,99.0,64.0,35.0,96.0,4400.0,0.7,-0.04,0.97,0.16,-8.6,11.5,-19.0,27.0,-2300.0,3700.0,True
GW231002_143916-v1,GW231002_143916,GWTC-4.0,1380292774.7,O4a,unknown,,,,,,,,,0.9,1.0,,,,,,,False
GW231002_143916-v2,GW231002_143916,GWTC-4.1,1380292774.7,O4a,unknown,,,,,,,,,0.9,1.0,,,,,,,True
GW231001_140220-v1,GW231001_140220,GWTC-4.0,1380204158.7,O4a,BBH,46.6,116.0,76.0,41.0,111.0,4400.0,0.7,-0.04,0.99,1.6e-05,-9.9,13.8,-23.0,31.0,-2400.0,3900.0,False
GW231001_140220-v2,GW231001_140220,GWTC-4.1,1380204158.7,O4a,BBH,46.6,116.0,76.0,41.0,111.0,4400.0,0.7,-0.04,0.99,1.4999999999999999e-05,-9.9,13.8,-23.0,31.0,-2400.0,3900.0,True
GW230930_110730-v1,GW230930_110730,GWTC-4.0,1380107268.4,O4a,BBH,24.8,59.0,34.5,24.4,56.3,4900.0,0.76,0.02,0.99,0.17,-4.1,6.5,-10.0,15.0,-2500.0,3200.0,False
GW230930_110730-v2,GW230930_110730,GWTC-4.1,1380107268.4,O4a,BBH,24.8,59.0,34.5,24.4,56.3,4900.0,0.76,0.02,0.99,0.09499999999999999,-4.1,6.5,-10.0,15.0,-2500.0,3200.0,True
GW230928_215827-v1,GW230928_215827,GWTC-4.0,1379973525.1,O4a,BBH,33.6,83.0,54.0,29.0,79.0,4900.0,0.77,0.4,0.99,1.4999999999999999e-05,-7.4,9.9,-18.0,22.0,-2500.0,4000.0,False
GW230928_215827-v2,GW230928_215827,GWTC-4.1,1379973525.1,O4a,BBH,33.6,83.0,54.0,29.0,79.0,4900.0,0.77,0.4,0.99,1.3999999999999998e-05,-7.4,9.9,-18.0,22.0,-2500.0,4000.0,True
GW230927_153832-v1,GW230927_153832,GWTC-4.0,1379864330.9,O4a,BBH,16.37,38.3,21.7,16.6,36.5,1190.0,0.23,0.03,0.99,1e-05,-0.8,1.43,-2.1,3.3,-540.0,370.0,False
GW230927_153832-v2,GW230927_153832,GWTC-4.1,1379864330.9,O4a,BBH,16.37,38.3,21.7,16.6,36.5,1190.0,0.23,0.03,0.99,1e-05,-0.8,1.43,-2.1,3.3,-540.0,370.0,True
GW230927_043729-v1,GW230927_043729,GWTC-4.0,1379824667.1,O4a,BBH,26.5,61.9,35.0,27.1,59.0,3200.0,0.55,0.01,0.99,1e-05,-3.5,5.6,-8.2,12.6,-1700.0,1800.0,False
GW230927_043729-v2,GW230927_043729,GWTC-4.1,1379824667.1,O4a,BBH,26.5,61.9,35.0,27.1,59.0,3200.0,0.55,0.01,0.99,1e-05,-3.5,5.6,-8.2,12.6,-1700.0,1800.0,True
GW230925_143957-v1,GW230925_143957,GWTC-4.0,1379688015.5,O4a,unknown,,,,,,,,,0.55,8.2,,,,,,,False
GW230925_143957-v2,GW230925_143957,GWTC-4.1,1379688015.5,O4a,unknown,,,,,,,,,0.55,8.2,,,,,,,True
GW230924_124453-v1,GW230924_124453,GWTC-4.0,1379594711.8,O4a,BBH,22.3,51.8,28.8,23.2,49.4,2400.0,0.42,0.02,0.99,1e-05,-2.1,3.1,-4.9,7.1,-1000.0,1000.0,False
GW230924_124453-v2,GW230924_124453,GWTC-4.1,1379594711.8,O4a,BBH,22.3,51.8,28.8,23.2,49.4,2400.0,0.42,0.02,0.99,1e-05,-2.1,3.1,-4.9,7.1,-1000.0,1000.0,True
GW230922_040658-v1,GW230922_040658,GWTC-4.0,1379390836.1,O4a,BBH,52.0,125.0,76.0,51.0,119.0,6500.0,0.96,0.31,0.99,1e-05,-11.0,17.0,-21.0,37.0,-3500.0,4100.0,False
GW230922_040658-v2,GW230922_040658,GWTC-4.1,1379390836.1,O4a,BBH,52.0,125.0,76.0,51.0,119.0,6500.0,0.96,0.31,0.99,1e-05,-11.0,17.0,-21.0,37.0,-3500.0,4100.0,True
GW230922_020344-v1,GW230922_020344,GWTC-4.0,1379383442.9,O4a,BBH,29.2,68.7,39.3,29.2,65.4,1640.0,0.31,0.03,0.99,1e-05,-2.7,3.7,-6.6,9.1,-740.0,730.0,False
GW230922_020344-v2,GW230922_020344,GWTC-4.1,1379383442.9,O4a,BBH,29.2,68.7,39.3,29.2,65.4,1640.0,0.31,0.03,0.99,1e-05,-2.7,3.7,-6.6,9.1,-740.0,730.0,True
GW230920_071124-v1,GW230920_071124,GWTC-4.0,1379229102.7,O4a,BBH,23.9,56.4,32.4,23.8,53.8,2900.0,0.49,,0.99,1e-05,-3.5,4.6,-8.0,10.3,-1400.0,1800.0,False
GW230920_071124-v2,GW230920_071124,GWTC-4.1,1379229102.7,O4a,BBH,23.9,56.4,32.4,23.8,53.8,2900.0,0.49,,0.99,1e-05,-3.5,4.6,-8.0,10.3,-1400.0,1800.0,True
GW230920_064709-v1,GW230920_064709,GWTC-4.0,1379227647.3,O4a,unknown,,,,,,,,,0.81,4.8,,,,,,,False
